[DATETIME_KEY],AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,BCHEUR,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURHUF,EURJPY,EURNZD,EURPLN,EURRUB,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,GOLD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,PLATINUM,SILVER,USDCAD,USDCHF,USDCNH,USDCZK,USDJPY,USDMXN,USDPLN,USDRON,USDRUB,WTI
2020.12.10T11:24:00,1,2,1,2,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,2,-1,1,-1,-1,1,-1,1,1,2,1,1,-1,1,1,-2,-1
2020.12.10T11:25:00,2,3,2,-1,2,2,2,2,-1,-2,1,2,1,-1,1,-2,1,1,2,-2,-1,2,1,-2,1,1,2,2,2,2,2,1,-2,1,-2,-2,-1,-2,-1,-1,-1,2
2020.12.10T11:26:00,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2,-1,-1,1,1,-2,-1,-1,-2,-2,-2,-1,-2,1,-1,-1,-2,-1,2,2,1,1,-1,1,-1,-1,1,-1,-2,1
2020.12.10T11:27:00,2,2,2,2,2,-1,1,1,-1,-1,-1,1,2,-1,1,1,-1,2,1,-2,-2,-2,-2,-2,-1,2,-1,1,1,1,2,2,-1,1,1,-1,1,-1,-1,1,1,1
2020.12.10T11:28:00,2,2,2,-3,2,-1,1,1,1,-1,2,2,1,-1,2,-2,-2,1,2,-1,2,2,2,-2,2,2,3,3,3,3,2,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1
2020.12.10T11:29:00,-1,1,-1,1,-2,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-2,-2,-2,-2,-1,1,-1,-2,-2,-2,2,2,3,1,1,2,1,1,2,-1
2020.12.10T11:30:00,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,-2,1,1,-1,-1,1,-1,1,2,1,-1,1,1,2,2,-1,-1,-1,1,1,-1,-1,1,-2,-1
2020.12.10T11:31:00,2,-1,1,-2,2,-1,-2,1,1,2,2,2,2,-1,2,1,-1,1,2,-1,-1,-1,-1,-2,1,1,2,1,2,2,2,1,-1,-2,-2,-2,-1,-2,-2,-1,-2,2
2020.12.10T11:32:00,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-2,1,1,-1,1,1,-2,1,1,2,1,-1,2,1,1,1,-1
2020.12.10T11:33:00,-1,-1,1,-1,-1,2,-1,1,1,-2,-1,-2,-2,1,-1,-2,2,-2,-2,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-2,1,2,1,1,2,2,2,2,1,-1,2
2020.12.10T11:34:00,2,2,2,2,2,1,1,1,1,-2,-1,1,-1,1,1,-2,1,-2,1,-2,1,1,1,-1,2,2,2,2,2,2,2,2,-2,-1,-1,-1,-1,-2,-1,-1,-2,-1
